ADM0_NAME,ADM1_NAME,Shape_Area,Shape_Leng,Year,night_light_mean,.geo,ndvi_mean,popu_dense_mean
Bangladesh,Barisal,0.943369023478,15.7774365953,2017,0.3121139027254462,MultiPolygon,0.1958933101885868,701.8734869434414
Bangladesh,Barisal,0.943369023478,15.7774365953,2018,0.3655019578030188,MultiPolygon,0.2069389595343422,703.3185857419315
Bangladesh,Barisal,0.943369023478,15.7774365953,2019,0.3041914606818927,MultiPolygon,0.2041334153158258,704.5383401805004
Bangladesh,Barisal,0.943369023478,15.7774365953,2020,0.3779539012003505,MultiPolygon,0.1924758653595333,706.3784274500925
Bangladesh,Barisal,0.943369023478,15.7774365953,2021,0.4426009228846574,MultiPolygon,0.1976625268307489,707.7108540686222
Bangladesh,Barisal,0.943369023478,15.7774365953,2022,0.4962600653830684,MultiPolygon,0.2106988613363457,709.1843116644745
Bangladesh,Barisal,0.943369023478,15.7774365953,2023,0.5414828706465339,MultiPolygon,0.2060511178657351,710.6577692603269
Bangladesh,Barisal,0.943369023478,15.7774365953,2024,0.5398831780086207,MultiPolygon,0.2149884755567466,712.1312268561787
Bangladesh,Chittagong,2.72561283093,30.4878768146,2017,0.5398814003066266,MultiPolygon,0.2668365294259274,816.5984201136821
Bangladesh,Chittagong,2.72561283093,30.4878768146,2018,0.6109766330935004,MultiPolygon,0.2600809167339642,829.7858391428435
Bangladesh,Chittagong,2.72561283093,30.4878768146,2019,0.5871651945874775,MultiPolygon,0.2718455276177278,843.2540628717094
Bangladesh,Chittagong,2.72561283093,30.4878768146,2020,0.6064333250956767,MultiPolygon,0.2610100503933703,856.6188717252644
Bangladesh,Chittagong,2.72561283093,30.4878768146,2021,0.6829102329856451,MultiPolygon,0.2595605574025449,869.9466931042771
Bangladesh,Chittagong,2.72561283093,30.4878768146,2022,0.7532497114991129,MultiPolygon,0.2782087401843615,883.2996509606382
Bangladesh,Chittagong,2.72561283093,30.4878768146,2023,0.7813744325007139,MultiPolygon,0.2721209365377736,896.6526088169994
Bangladesh,Chittagong,2.72561283093,30.4878768146,2024,0.790919499806752,MultiPolygon,0.280577250094952,910.0055666733606
Bangladesh,Dhaka,2.748843847,12.2261667538,2017,0.8604124103070413,Polygon,0.2080684780265805,1445.9242769335983
